Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,42,4
3/14/2020,295,73,47,5
3/15/2020,363,68,51,4
3/16/2020,513,150,53,2
3/17/2020,762,249,61,8
3/18/2020,1021,259,67,6
3/19/2020,1299,278,74,7
3/20/2020,1687,388,85,11
3/21/2020,2007,320,95,10
3/22/2020,2293,286,99,4
3/23/2020,2901,608,111,12
3/24/2020,3618,717,120,9
3/25/2020,4362,744,131,11
3/26/2020,5297,935,135,4
3/27/2020,6241,944,140,5
3/28/2020,6896,655,148,8
3/29/2020,7419,523,153,5
3/30/2020,8655,1236,155,2
3/31/2020,9921,1266,159,4
4/1/2020,11259,1338,166,7
4/2/2020,12539,1280,171,5
4/3/2020,14020,1481,176,5
4/4/2020,15183,1163,182,6
4/5/2020,16158,975,189,7
4/6/2020,18090,1932,193,4
4/7/2020,20116,2026,202,9
4/8/2020,21982,1866,205,3
4/9/2020,23971,1989,215,10
4/10/2020,26032,2061,223,8
4/11/2020,27331,1299,230,7
4/12/2020,28262,931,240,10
4/13/2020,30263,2001,247,7
4/14/2020,33138,2875,253,6
4/15/2020,35740,2602,267,14
4/16/2020,38127,2387,276,9
4/17/2020,41134,3007,293,17
4/18/2020,42617,1483,298,5
4/19/2020,43707,1090,299,1
4/20/2020,46407,2700,310,11
4/21/2020,48608,2201,330,20
4/22/2020,51327,2719,360,30
4/23/2020,53746,2419,383,23
4/24/2020,56027,2281,447,64
4/25/2020,57527,1500,469,22
4/26/2020,58376,849,499,30
4/27/2020,60502,2126,565,66
4/28/2020,62610,2108,625,60
4/29/2020,64794,2184,723,98
4/30/2020,66850,2056,822,99
5/1/2020,68936,2086,916,94
5/2/2020,69975,1039,980,64
5/3/2020,70707,732,1014,34
5/4/2020,72597,1890,1150,136
5/5/2020,74343,1746,1275,125
5/6/2020,76060,1717,1413,138
5/7/2020,77760,1700,1532,119
5/8/2020,79230,1470,1626,94
5/9/2020,79915,685,1658,32
5/10/2020,80303,388,1720,62
5/11/2020,81611,1308,1830,110
5/12/2020,83079,1468,1947,117
5/13/2020,84420,1341,2066,119
5/14/2020,85743,1323,2193,127
5/15/2020,86867,1124,2290,97
5/16/2020,87533,666,2326,36
5/17/2020,87911,378,2369,43
5/18/2020,89238,1327,2469,100
5/19/2020,90336,1098,2590,121
5/20/2020,91378,1042,2692,102
5/21/2020,92387,1009,2825,133
5/22/2020,93275,888,2934,109
5/23/2020,93673,398,2969,35
5/24/2020,93986,313,3004,35
5/25/2020,94190,204,3064,60
5/26/2020,95088,898,3164,100
5/27/2020,95815,727,3272,108
5/28/2020,96483,668,3403,131
5/29/2020,97021,538,3498,95
5/30/2020,97278,257,3531,33
5/31/2020,97419,141,3550,19
6/1/2020,97539,120,3623,73
6/2/2020,97539,0,3624,1
